genre,chart_page,period,artist,title,label
americana,0002,"January 31 - February 6, 2000",The Hollisters,Sweet Inspiration,( Hightone )
americana,0002,"January 31 - February 6, 2000",78 RPM,78 RPM,(self-released)
americana,0002,"January 31 - February 6, 2000",Chuck Prophet,The Hurting Business,( Hightone )
americana,0002,"January 31 - February 6, 2000",Phil Lee,The Mighty King of Love,( Shanachie )
americana,0002,"January 31 - February 6, 2000",Robbie Fulks,The Very Best of Robbie Fulks,( Bloodshot )
americana,0002,"January 31 - February 6, 2000",Slaid Cleaves,Broke Down,( Philo )
americana,0002,"January 31 - February 6, 2000",Tom House,'Til You've Seen Mine,(Catamount)
americana,0002,"January 31 - February 6, 2000",Cowboy Junkies,"Rarities, B-Sides and Slow, Sad Waltzes",(Valley)
americana,0002,"January 31 - February 6, 2000",Marti Brom & her Barnshakers,Snake Ranch,( Goofin' )
americana,0002,"January 31 - February 6, 2000",Wagon,Beauty Angel Queen,(self-released)
americana,0002,"January 31 - February 6, 2000",Kenny Roby,Mercury's Blues,( RiceBox )
americana,0002,"January 31 - February 6, 2000",Tom Morrell & the Time-Warp Top Hands,Wolf Tracks,( Shanachie )
americana,0002,"January 31 - February 6, 2000",The Two Dollar Pistols with Tift Merritt,, Yep Roc 
americana,0002,"January 31 - February 6, 2000",The V-Roys,Are You Through Yet?,(self-released)
americana,0002,"January 31 - February 6, 2000",Zachary Richard,Silver Jubilee: The Best of Zachary Richard,( Rhino )
americana,0002,"January 31 - February 6, 2000",Guy Clark,Cold Dog Soup,( Sugar Hill )
americana,0002,"January 31 - February 6, 2000",Last Train Home,True North,(Adult Swim)
americana,0002,"January 31 - February 6, 2000",Teddy Morgan and the Pistolas,Lost Love and Highways,( Hightone )
americana,0002,"January 31 - February 6, 2000",Larry Barrett,The Big Slowdown,(Barking Music)
americana,0002,"January 31 - February 6, 2000",The Cornell Hurd Band,At Large,( Behemoth )
americana,0002,"January 31 - February 6, 2000",Blue Mountain,Tales Of A Traveler,( Roadrunner )
americana,0002,"January 31 - February 6, 2000",The Ex-Husbands,All Gussied Up,( Tar Hut )
